t(s),x(m),y(m),z(m)
5.5600000000000005,0.949468999964372,-2.4636188796767695,0.8701837546695255
5.57,0.9626371913146545,-2.4450526482203996,0.8793163101905563
5.58,0.9756118561552523,-2.4262112333049766,0.8881364488135441
5.59,0.988390249537503,-2.407097347174559,0.8966410367852358
5.6000000000000005,1.0009696591727002,-2.387713740731073,0.9048270524660197
5.61,1.0133474058878094,-2.3680632031104754,0.9126915874035032
5.62,1.0255208440758974,-2.3481485612530286,0.9202318473658703
5.63,1.0374873621411735,-2.3279726794678144,0.9274451533346608
5.64,1.0492443829386109,-2.3075384589914814,0.9343289424566117
5.65,1.060789364208043,-2.286848837541358,0.9408807689542253
5.66,1.072119799002685,-2.265906788862967,0.9470983049947443
5.67,1.083233216112015,-2.2447153222720067,0.9529793415172185
5.68,1.0941271804789225,-2.2232774821909103,0.9585217890173758
5.69,1.1047992936110895,-2.2015963476800056,0.9637236782900098
5.7,1.1152471939865058,-2.1796750319633986,0.968583161128631
5.71,1.1254685574530874,-2.157516681949605,0.9730985109821265
5.72,1.1354610976223043,-2.135124477747041,0.9772681235681931
5.73,1.1452225662567694,-2.112501632174446,0.9810905174433343
5.74,1.1547507536517205,-2.0896513902663023,0.9845643345292053
5.75,1.1640434890103477,-2.0665770287733145,0.9876883405951378
5.76,1.1730986408128798,-2.04328185565808,0.9904614256966511
5.7700000000000005,1.1819141171793963,-2.0197692095859683,0.9928826045698137
5.78,1.1904878662262928,-1.996042459411329,0.9949510169813002
5.79,1.1988178764163444,-1.9721050036590944,0.9966659280340299
5.8,1.2069021769023145,-1.947960270001858,0.9980267284282716
5.8100000000000005,1.2147388378640516,-1.9236117147325107,0.9990329346781247
5.82,1.2223259708390133,-1.8990628222325379,0.9996841892832999
5.83,1.2296617290461795,-1.8743171044360123,0.9999802608561371
5.84,1.2367443077032905,-1.8493781002894187,0.9999210442038161
5.8500000000000005,1.243571944337356,-1.8242493752073727,0.9995065603657315
5.86,1.2501429190884001,-1.7989345205243175,0.9987369566060175
5.87,1.2564555550063796,-1.7734371529422708,0.9976125063612251
5.88,1.2625082183412315,-1.7477609139747576,0.9961336091431725
5.89,1.2682993188260077,-1.7219094693869503,0.994300790396999
5.9,1.2738273099530426,-1.6958865086321595,0.9921147013144778
5.91,1.2790906892431155,-1.6696957442847382,0.989576118602651
5.92,1.284087998507566,-1.6433409114694677,0.986685944207868
5.93,1.28881782410331,-1.6168257672875783,0.9834452049953298
5.94,1.293278797180728,-1.5901540902394151,0.979855052384247
5.95,1.2974695939243723,-1.5633296796439176,0.9759167619387473
5.96,1.3013889357864674,-1.5363563550549304,0.9716317329146742
5.97,1.3050355897131571,-1.5092379556744877,0.9670014877624352
5.98,1.3084083683634615,-1.4819783397631565,0.9620276715860858
5.99,1.3115061303209123,-1.454581384047514,0.9567120515588303
6.0,1.314327780297834,-1.4270509831248428,0.9510565162951538
6.01,1.3168722693322268,-1.3993910488651922,0.9450630751798054
6.0200000000000005,1.319138594977233,-1.371605509810829,0.9387338576538738
6.03,1.3211258014831473,-1.3436983105732214,0.9320711124582112
6.04,1.3228329799719423,-1.315673411227629,0.9250772068344579
6.05,1.3242592686042856,-1.2875347867054012,0.9177546256839815
6.0600000000000005,1.3254038527390135,-1.2592864261840675,0.9101059706849959
6.07,1.326265965085042,-1.2309323324753496,0.9021339593682027
6.08,1.3268448858456865,-1.2024765214111335,0.8938414241512642
6.09,1.3271399428553692,-1.1739230212275484,0.8852313113324554
6.1000000000000005,1.3271505117086877,-1.145275871947237,0.8763066800438635
6.11,1.3268760158818262,-1.116539124759902,0.8670707011644896
6.12,1.3263159268462918,-1.0877168414012148,0.8575266561936524
6.13,1.3254697641749495,-1.0588130935302376,0.847677936085084
6.140000000000001,1.3243370956403462,-1.0298319621053793,0.8375280400421412
6.15,1.3229175373053037,-1.000777536759067,0.8270805742745619
6.16,1.3212107536057653,-0.9716539151711463,0.8163392507171837
6.17,1.3192164574258805,-0.9424652024411696,0.8053078857111224
6.18,1.3169344101653206,-0.9132155104596626,0.7939903986478355
6.19,1.3143644217988086,-0.8839089572784256,0.7823908105765879
6.2,1.3115063509278544,-0.8545496664800382,0.7705132427757898
6.21,1.3083601048246867,-0.8251417665465874,0.758361915288722
6.22,1.3049256394683737,-0.7956893902277774,0.745941145424183
6.23,1.3012029595731271,-0.7661966739085053,0.7332553462225594
6.24,1.2971921186087831,-0.7366677569759915,0.720309024887907
6.25,1.2928932188134525,-0.7071067811865483,0.7071067811865485
6.26,1.2883064111983469,-0.6775178900321445,0.6936533058128055
6.2700000000000005,1.2834318955447688,-0.647905228106798,0.6799533787224193
6.28,1.2782699203932715,-0.6182729404729358,0.6660118674342512
6.29,1.2728207830249882,-0.5886251720278091,0.6518337253008794
6.3,1.2670848294351318,-0.5589660668700636,0.6374239897486897
6.3100000000000005,1.2610624542986677,-0.529299767666553,0.6227877804881121
6.32,1.2547541009281709,-0.49963041501953703,0.6079302976946059
6.33,1.2481602612238611,-0.46996214683429105,0.5928568201610593
6.34,1.2412814756158346,-0.4402990976872888,0.5775727034222686
6.3500000000000005,1.2341183329984957,-0.4106453981950416,0.5620833778521297
6.36,1.2266714706571986,-0.3810051743836803,0.5463943467342691
6.37,1.2189415741871068,-0.3513825470593665,0.5305111843067336
6.38,1.2109293774042882,-0.3217816311796767,0.514439533781507
6.390000000000001,1.2026356622490602,-0.2922065352260296,0.49818510533949084
6.4,1.1940612586815877,-0.2626613605772395,0.48175367410171477
6.41,1.1852070445697602,-0.23315020088431138,0.46515107807745887
6.42,1.1760739455693643,-0.20367714144659393,0.44838321609003223
6.43,1.1666629349965665,-0.17424625858935056,0.43145604568096
6.44,1.1569750336927282,-0.14486161904288303,0.41437558099328464
6.45,1.1470113098815717,-0.11552727932326684,0.39714789063478056
6.46,1.136772879018713,-0.08624728511481328,0.3797790955218021
6.47,1.1262609036336007,-0.057025670654373584,0.3622753667045462
6.48,1.1154765931638757,-0.027866458117567827,0.34464292317451695
6.49,1.1044212037821635,0.0012263429930117198,0.3268880296549418
6.5,1.0930960382153598,0.03024873645742099,0.3090169943749479
6.51,1.0815024455563957,0.05919673994584029,0.29103616682827343
6.5200000000000005,1.069641821068545,0.0880663856237055,0.27295193551732455
6.53,1.0575156059822968,0.11685372075444123,0.2547707256833826
